大模型,分类能力,排名
百度ERNIE-3.5-8K,94,1
yi-lightning(new),94,2
internlm2-chat-20b,93,3
deepseek-chat-v2,93,4
gpt-4o,93,5
月之暗面moonshot-v1-8k,92,6
智谱GLM4,92,7
qwen2.5-72b-instruct,92,8
阿里qwen-max,92,9
gpt-4-turbo,91,10
qwen2.5-32b-instruct,91,11
Qwen1.5-32B-Chat,91,12
gemini-1.5-flash(new),91,13
gpt-4o-mini,90,14
Yi-1.5-34B-Chat,90,15
百度ERNIE-4.0-Turbo,90,16
glm-4-9b-chat,90,17
Qwen2-7B-Instruct,89,18
Qwen1.5-72B-Chat,89,19
Qwen1.5-14B-Chat,89,20
商汤SenseChat-v4,89,21
智谱GLM-4-Air,89,22
阿里qwen-long,89,23
智谱GLM-4-AirX,89,24
智谱GLM-4-Flash,89,25
qwen2.5-14b-instruct,89,26
minimax-abab6.5-chat,89,27
讯飞4.0Ultra,88,28
百度ERNIE-4.0,88,29
百度ERNIE-Speed-8K,88,30
阿里qwen-plus,88,31
Baichuan3-Turbo,88,32
Llama-3-70B-Instruct,88,33
GLM-4-Plus(new),87,34
minimax-abab6.5s-chat,87,35
gemini-1.5-pro(new),87,36
Llama-3.1-70B-Instruct,87,37
讯飞星火v3.5(spark-max),87,38
Qwen2-72B-Instruct,87,39
讯飞星火v3(spark-pro),87,40
internlm2_5-7b-chat,86,41
Llama-3-8B-Instruct,86,42
豆包Doubao-pro-32k,86,43
internlm2_5-20b-chat,86,44
internlm2-chat-7b,86,45
Baichuan4,86,46
yi-medium,86,47
qwen2-57b-a14b-instruct,85,48
qwen2.5-7b-instruct,85,49
gemma-2-9b-it,85,50
yi-large,85,51
GLM-4-Long(new),85,52
gemini-1.0-pro(new),84,53
qwen-turbo,83,54
minimax-abab5.5-chat,83,55
yi-large-turbo,82,56
Yi-1.5-9B-Chat,82,57
yi-spark,82,58
gpt-3.5-turbo,81,59
商汤SenseChat-Turbo,81,60
qwen2.5-3b-instruct,81,61
DeepSeek-V2-Lite-Chat,81,62
Qwen1.5-7B-Chat,80,63
MiniCPM-2B-dpo,79,64
openbuddy-llama3-8b,78,65
豆包Doubao-lite-32k,77,66
Qwen1.5-4B-Chat,75,67
Phi-3-mini-128k-instruct,74,68
qwen2-1.5b-instruct,73,69
qwen2.5-1.5b-instruct,70,70
internlm2-chat-1_8b,69,71
Llama-3.1-8B-Instruct,63,72
minimax-abab5.5s-chat,58,73
Qwen1.5-1.8B-Chat,57,74
qwen2.5-0.5b-instruct,52,75
qwen2-0.5b-instruct,49,76
Qwen1.5-0.5B-Chat,44,77
