大模型,中文指令遵从,排名
Qwen2-72B-Instruct,86,1
豆包Doubao-pro-32k,85,2
智谱GLM-4-Air,83,3
智谱GLM-4-AirX,83,4
gpt-4o,83,5
gpt-4o-mini,83,6
gpt-4-turbo,83,7
qwen2.5-32b-instruct,83,8
qwen2.5-72b-instruct,83,9
yi-lightning(new),82,10
GLM-4-Plus(new),81,11
gemma-2-9b-it,81,12
qwen2.5-14b-instruct,81,13
GLM-4-Long(new),80,14
讯飞4.0Ultra,80,15
minimax-abab6.5s-chat,80,16
Llama-3.1-70B-Instruct,79,17
glm-4-9b-chat,79,18
智谱GLM-4-Flash,79,19
internlm2_5-7b-chat,79,20
百度ERNIE-4.0,79,21
百度ERNIE-4.0-Turbo,78,22
yi-large-turbo,78,23
qwen2.5-3b-instruct,77,24
gpt-3.5-turbo,77,25
阿里qwen-max,77,26
智谱GLM4,77,27
yi-large,77,28
qwen2.5-7b-instruct,77,29
gemini-1.5-flash(new),77,30
Qwen2-7B-Instruct,77,31
qwen2-57b-a14b-instruct,77,32
gemini-1.0-pro(new),76,33
yi-medium,76,34
minimax-abab6.5-chat,76,35
deepseek-chat-v2,76,36
minimax-abab5.5-chat,76,37
internlm2_5-20b-chat,75,38
gemini-1.5-pro(new),75,39
Baichuan3-Turbo,75,40
Baichuan4,75,41
阿里qwen-long,75,42
Phi-3-mini-128k-instruct,75,43
讯飞星火v3(spark-pro),74,44
讯飞星火v3.5(spark-max),74,45
Yi-1.5-34B-Chat,74,46
阿里qwen-plus,73,47
百度ERNIE-3.5-8K,72,48
商汤SenseChat-Turbo,72,49
月之暗面moonshot-v1-8k,72,50
yi-spark,72,51
Yi-1.5-9B-Chat,72,52
Qwen1.5-32B-Chat,72,53
商汤SenseChat-v4,71,54
Llama-3-70B-Instruct,70,55
openbuddy-llama3-8b,70,56
Qwen1.5-72B-Chat,70,57
DeepSeek-V2-Lite-Chat,69,58
Llama-3.1-8B-Instruct,69,59
百度ERNIE-Speed-8K,68,60
internlm2-chat-20b,68,61
Qwen1.5-7B-Chat,67,62
Qwen1.5-14B-Chat,66,63
qwen-turbo,66,64
internlm2-chat-7b,64,65
Llama-3-8B-Instruct,63,66
qwen2.5-1.5b-instruct,62,67
豆包Doubao-lite-32k,62,68
qwen2.5-0.5b-instruct,58,69
Qwen1.5-4B-Chat,56,70
MiniCPM-2B-dpo,55,71
qwen2-1.5b-instruct,54,72
minimax-abab5.5s-chat,49,73
qwen2-0.5b-instruct,48,74
Qwen1.5-1.8B-Chat,46,75
internlm2-chat-1_8b,45,76
Qwen1.5-0.5B-Chat,42,77
